"Message","Truth","Experiment"
"but, it seems to work so well now, that i don't anticipate any problems with it.",1,"train_pos"
"bottom line for me is that for the price i don't think you can go wrong at all by purchasing this dvd player.",1,"train_pos"
"excellent second dvd, or first dvd for hdtv ready tv.",1,"train_pos"
"wow!",1,"train_pos"
"simple to use and hook up.",1,"train_pos"
"comes with standard rca jacks for output, along with s-video output (s-video cable not included, must be purchased seperately) and also component video outputs.",1,"train_pos"
"the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used.",1,"train_pos"
"i also own an "" apex ad 1201 "" dvd player and have had no problems with it since i purchased it almost 1 1/2 years ago.",1,"train_pos"
"one big difference between the 1201 and the 2600 models is that the 2600 model is virtually silent.",1,"train_pos"
"and doesn't need to be placed in a cabinet like the 1201 does.",1,"train_pos"
"friends of mine who own apex tv sets are also all very pleased.",1,"train_pos"
"i would not hesitate to purchase this if you are uncertain of the brand name.",1,"train_pos"
"consider it for a future gift too!",1,"train_pos"
"you can get a pretty good progressive scan sony or toshiba now for 68 bucks just about anywhere.",1,"train_pos"
"spend the money its well worth it.",1,"train_pos"
"what a dvd player!",1,"train_pos"
"this is the best dvd player i've purchased.",1,"train_pos"
"i've owned a panasonic and sony dvd and this one outperforms in function and image quality and most of all, access speed.",1,"train_pos"
"this player has worked flawlessly for me and at this price, you can't go wrong.",1,"train_pos"
"80% of the features on here you will not get by spending $ 100 on a sony or panasonic.",1,"train_pos"
"check out !",1,"train_pos"
"enjoy !",1,"train_pos"
"value for money!",1,"train_pos"
"well, this apex dvd player turned out great!",1,"train_pos"
"it plays basically every media i've tested so far, even an old vcd that i ripped years ago and the rental dvd that couldn't be played on my old $ 200 sharp player!",1,"train_pos"
"i have to say i'm also pretty impressed by the user interface for playing jpeg, mp3 and mpeg files stored on cd-rs / dvds.",1,"train_pos"
"it's almost like having a media player / file manager built into the dvd player.",1,"train_pos"
"i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive high-end player.",1,"train_pos"
"what more can you ask for from a $ 40 dvd player?",1,"train_pos"
"i guess i'm just lucky to get a good working unit!",1,"train_pos"
"and the slim form-factor together with the mirror-like front panel sure makes the player look cool and pricey!",1,"train_pos"
"finally, amazon's free shipping is really getting good, it took only 3 working days for the player to reach me!",1,"train_pos"
"amazon.com promptly refunded my money for the first one, because a replacement was not available (thanks amazon.com!",1,"train_pos"
"for the most part this is a good dvd player.",1,"train_pos"
"it is connected to an old television set via composite video and analog audio outputs.",1,"train_pos"
"i searched on the internet and found one tip which solved our problem: press i/p button on the remote control.",1,"train_pos"
"we are overall pleased with product.",1,"train_pos"
"i would have rated it five stars but for the poor manual.",1,"train_pos"
"good:  progressive scan player for a relatively low price (although the better known manufacturers like toshiba, pioneer, and panasonic are now offering lower-priced progressive scan players as well).",1,"train_pos"
"seems to read most dvds fine, and reads quietly (i had a pioneer player that had fairly loud disc spin noise).",1,"train_pos"
"also, i have not had trouble reading svcds that i created and vbr mp3 cds (my old apex ad-1200 had trouble with these).",1,"train_pos"
"output through component connections looks very good, on my non-hd tv.",1,"train_pos"
"pretty good.",1,"train_pos"
"i checked out the amazon reviews and i'm pleased to say mine worked, works, fine right out of the box.",1,"train_pos"
"i like the auto fit feature = you can stretch widescreen dvd's to normal.",1,"train_pos"
"lot's of other features that i need to find out about.",1,"train_pos"
"looks ok - very shiny chrome and mirrors.",1,"train_pos"
"this thing plays everything i feed it.",1,"train_pos"
"plays them all.",1,"train_pos"
"i ordered 2.",1,"train_pos"
"great dvd player.",1,"train_pos"
"when i 1st tried it i found that it had no problem playing the more expensive dvd - r media disc's that other players would play but to my surprise was able to play cheep media that i had burned that i couldn't get to work before in anything but the dvd burner itself that i had made the disc with.",1,"train_pos"
"easy to use, small form factor, and looks good to boot.",1,"train_pos"
"very happy!",1,"train_pos"
"i have an apex ad600 for a few years now which still works great today.",1,"train_pos"
"i figured with a great first product and with this one having more features than the 600 i would buy one.",1,"train_pos"
"i bought this as a gift for my sister.",1,"train_pos"
"i bought this player as a christmas present for my wife.",1,"train_pos"
"i bought this player during a christmas sale at an excellent price.",1,"train_pos"
"the second apex - at least it's prettier than the last.",1,"train_pos"
"the physical appearance of this apex compared to one previous (ad1100w) is most appreciated.",1,"train_pos"
"back to the 2600:  1.  it doesn't smell like burning plastic when you open the drive.",1,"train_pos"
"2.  without a doubt the finest looking apex dvd player that i've seen.",1,"train_pos"
"3.  excellent picture quality - on par with my pioneer, panasonic, and jvc players.",1,"train_pos"
"4.  remote: you can stand it on end (harder to lose), and it's far better designed than the 1100s.",1,"train_pos"
"anyway, the initial impression is much better than when i opened the box on the 1100 over a year ago - you can telll that apex is trying harder to improve their product.",1,"train_pos"
"i'd have given it 5 stars, but i'm waiting to see if this one holds up to more frequent use than the last one:  with progressive scan, i expect it to play play play - and give my old pioneer a rest.",1,"train_pos"
"unlike some of the other people who received a "" lemon "", my dvd player came in perfect working condition.",1,"train_pos"
"as a whole, the dvd player has a sleek design and works fine.",1,"train_pos"
"this player seems to work fine with everything else.",1,"train_pos"
"apex you can trust.",1,"train_pos"
"i had apex regular (non-progressive) dvd-player for two years.",1,"train_pos"
"had no problem with it.",1,"train_pos"
"now, i thought it's time to upgrade.",1,"train_pos"
"so, i bought apex ad-2600 in november ' 03 from amazon.",1,"train_pos"
"it's running great for all the dvds i have and rented.",1,"train_pos"
"i think, apex is the best dvd player you can get for the price.",1,"train_pos"
"most of them are already switched to apex and they are happy.",1,"train_pos"
"take my words and give it a try.",1,"train_pos"
"goodluck!",1,"train_pos"
"a great discovery!",1,"train_pos"
"i bought this to replace an expensive ($ 300 +) onkyo dvd player that quit after only 3 years!",1,"train_pos"
"this has so many capabilities that you'll always have room for new technologies as they evolve.",1,"train_pos"
"i use this with a home theater system and it's amazing how it sounds, the picture clarity is unmatched!",1,"train_pos"
"so much packed in a small case and very affordable!",1,"train_pos"
"i got one of these to serve as a second dvd player in my house.",1,"train_pos"
"it's a compact, attractive machine and was easy to set up.",1,"train_pos"
"basic usage is easy, but the remote has a lot of buttons that i haven't used.",1,"train_pos"
"so far, we've only used this player a few times to watch movies and it has worked fine.",1,"train_pos"
"the picture is clear, bright and sharp and the sound is good.",1,"train_pos"
"it's not a big deal for me.",1,"train_pos"
"as it is, i'm keeping the machine.",1,"train_pos"
"it works well enough (so far) for me to be satisfied with it, and it's possible that i'm missing something.",1,"train_pos"
"but i would expect that, since my movie discs have all played with no problem, the extras discs would, too, without any additional tweaking.",1,"train_pos"
"i'm giving this player cautious recommendation.",1,"train_pos"
"there are a lot of things i like about it.",1,"train_pos"
"apex ad-2600 working so far.",1,"train_pos"
"received apex dvd and the picture was great when set up with s connector.",1,"train_pos"
"so far the dvd works so i hope it doesn't break down like the reviews i've read.",1,"train_pos"
"i bought the apex ad-2600 dvd player for the family for christmas.",1,"train_pos"
"set up was easy and we enjoyed it for just over a week.",1,"train_pos"
"amazon was wonderful about picking it up the next day and paying for the return shipping.",1,"train_pos"
"now i may buy two!",1,"train_pos"
"thankfully amazon has free return shipping!",1,"train_pos"
"retraction: said mine had silver plate: it does have display.",1,"train_pos"
"it works great.",1,"train_pos"
"great by for the price.",1,"train_pos"
"i purchased two apex 2600 for christmas presents.",1,"train_pos"
"the unit seems to play all formats that i have put in it (jpeg, kodak pic's and dvd-r) i have read other reviews and some good and soom not so good, but my feeling at this time is "" two thumbs up ""!",1,"train_pos"
"i bought this thing because it plays everything.",1,"train_pos"
"this is the third apex dvd i bought.",1,"train_pos"
"the first one was the 705 which i hacked successfully to play all region dvds and disable macrovision.",1,"train_pos"
"the second one was the 2500 which i think is better than the 2600 because it has more features such as karoake which i do use sometimes for parties.",1,"train_pos"
"but heck it plays my alias dvds.",1,"train_pos"
"by the way my alias dvds are legit too not no bootleg from the internet.",1,"train_pos"
"you should too.",1,"train_pos"
"i bought the 2600 because it plays everything!",1,"train_pos"
"we ordered two apex ad-2600's for our family for christmas - finally decided to join the rest of the world and watch dvd's - well.",1,"train_pos"
"the second one is up and running.",1,"train_pos"
"it seems to be working fine, but we've not used it all that much.",1,"train_pos"
"the player looked good right out of the box, offering lots of features and good styling.",1,"train_pos"
"i ordered two of these puppies for christmas gifts.",1,"train_pos"
"what can i say, i bought the ad600 2 years ago and it was probly the best dvd player ever, quality design, stable, plus it uses a standard ide interface so you can use an old dvd drive from your computer if the player dies.",1,"train_pos"
"in the last month i bought the apex ad-1600 and the ad-1220.",1,"train_pos"
"amazon is awaesome!",1,"train_pos"
"they refunded my $ $ $ so fast and paid for the shipping back.",1,"train_pos"
"what more could you ask for.",1,"train_pos"
"price vs performance.",1,"train_pos"
"for the price, it's a very nice dvd player.",1,"train_pos"
"it does play a wide range of formats as advertised which is very nice.",1,"train_pos"
"and so far have not had any problems with dvds not being able to play.",1,"train_pos"
"recommended to anyone looking to purchase a low priced dvd player and not expecting any bells or whistles from a brand name one like sony.",1,"train_pos"
"my first dvd player and i'm well satisfied!",1,"train_pos"
"i finally joined the 21st century and bought this dvd player.",1,"train_pos"
"i knew nothing about dvds before this but with this machine i figured it all out very quickly.",1,"train_pos"
"i only wanted something to play dvds on but this machine has all these other features that i probably will never use but it's nice to know that there're there.",1,"train_pos"
"the machine is very light and slim and fits nicely into my tv stand.",1,"train_pos"
"i've had no problems at all so far and i'm very happy.",1,"train_pos"
"i applied a $ 25 amazon gift voucher i got for christmas so i only ended up paying $ 29 for this machine.",1,"train_pos"
"even if i had paid full price i would have considered this a good deal.",1,"train_pos"
"when it works, it's great, when it doesn't it's frustrating.",1,"train_pos"
"i pulled out our old non-progressive scan toshiba, hooked it back-up and the "" finding nemo "" dvd works fine.",1,"train_pos"
"i will give it one more try!",1,"train_pos"
"it worked.",1,"train_pos"
"hopefully the replacement from amazon will work just fine.",1,"train_pos"
"besides the one problem, this machine is amazing!",1,"train_pos"
"it plays everything, even vcd's.",1,"train_pos"
"if no problems occur with replacement unit i will keep the 4 star rating.",1,"train_pos"
"well worth the money.",1,"train_pos"
"i will never use all the "" whistles and bells "" this machine is capable of.",1,"train_pos"
"but for what i do use it is perfect.",1,"train_pos"
"you could have paid more and got a lot less.",1,"train_pos"
"i paid $ 49 and now it's $ 125!",1,"train_pos"
"i think a $ 39 dissapointment is better then a $ 125 dissapointment!",1,"train_pos"
"so, without further adoo.",1,"train_pos"
"come quick!""",1,"train_pos"
"bought two ad2600's for christmas.",1,"train_pos"
"the dvd player is fine.",1,"train_pos"
"to get back to the menu of the dvd you have to press "" menu "" on the remote while the dvd is playing.",1,"train_pos"
"fantastic dvd player for the price.",1,"train_pos"
"i purchased one of these to replace an ailing dvd player that's a few years old.",1,"train_pos"
"of course, i was hesitant given the price, but i've been extremely impressed since receiving it, and bought a second one as a christmas present for my parents.",1,"train_pos"
"the picture is perfect, although i'm not watching on an hdtv.",1,"train_pos"
"but, dollar for dollar, this dvd player is probably the best out there.",1,"train_pos"
"i bought this for my dad for christmas.",1,"train_pos"
"the player does seem to play dvds adequately enough.",1,"train_pos"
"it also has an optical out, which it should.",1,"train_pos"
"i purchased the apex 2600 after reading good reviews of it, both here and in other places.",1,"train_pos"
"there were a few attractive features, such as the small size and the layout of the remote.",1,"train_pos"
"i looked into buying an inexpensive dvd player that had more than the standard set of features and this item seemed to be the best in that category.",1,"train_pos"
"i just hooked it up and everything seemed to be going fine.",1,"train_pos"
"still, i was willing to overlook those things as this unit looks sleek and has a myriad of features!",1,"train_pos"
"so i pop-in my first dvd and start to watch.",1,"train_pos"
"the dvd played without flaw through the chapter in question.",1,"train_pos"
"i then played it through my ps2 and there was no problem there either.",1,"train_pos"
"even though they were not damaged in any way.",1,"train_pos"
"value for money.",1,"train_pos"
"this is probably one of the few dvd players at $ 40 that can play almost everything you throw at it.",1,"train_pos"
"the plus points are -  1.  price  2.  ability to play most discs - i tried dvd, vcd, dvd-r, audio cd and it played all  3.  good looks  the downside -  1.  the build quality shows why its so cheap - small scratches on the base plate, something that you wouldn't see on a sony and an overall plasticky feel  2.  remote buttons are small and closely spaced, especially with the menu buttons.",1,"train_pos"
"if these otherwise minor issues can be fixed, i would rate this a 5 star machine.",1,"train_pos"
"great cheap buy!",1,"train_pos"
"this is wonderful to have for your first dvd player.",1,"train_pos"
"i brought it for my sister in college and she loves it!",1,"train_pos"
"apex is the best cheap quality brand for dvd players.",1,"train_pos"
"also, very light and portable.",1,"train_pos"
"it will read and play all cd audio disc.",1,"train_pos"
"i have shopped with amazon before and have been very happy with their performance thus far.",1,"train_pos"
"i received the apex ad-2600 before i expected.",1,"train_pos"
"i bought the apex ad-2600 because of the ability to play jpegs and it seemed like it was the most bang for the buck.",1,"train_pos"
"what is up.",1,"train_pos"
"i feel that once i contact amazon that they will get to the bottom of this.",1,"train_pos"
"moderately impressed.",1,"train_pos"
"it plays original dvds and cds and plays mp3s and jpegs.",1,"train_pos"
"also, it was only $ 39.99 (after rebate) with free shipping and no tax so overall it is a decent player.",1,"train_pos"
"good quality video.",1,"train_pos"
"apex ad-2600 compatability.",1,"train_pos"
"bought this player after reading the reviews here which identify it as reading most formats including dvd + rw's and vcd's.",1,"train_pos"
"it did play a dvd-r which was unplayable in my older philips machine.",1,"train_pos"
"mixed bag i guess but the price was right.",1,"train_pos"
"great budget player.",1,"train_pos"
"this is the third apex product i've bought and they continue to impress for the price.",1,"train_pos"
"it goes nicely with my apex 27 "" in my bedroom.",1,"train_pos"
"the build quality feels solid, it doesn't shake or whine while playing discs, and the picture and sound is top notch (both dts and dd5.1 sound good).",1,"train_pos"
"i paid twenty dollars more than the current price, and even then it was a steal.",1,"train_pos"
"fantastic bargain!",1,"train_pos"
"hooray!",1,"train_pos"
"think you need to pay a fortune for a good qulaity dvd player?",1,"train_pos"
"it looks really sleek and stylish, and does everything it claims.",1,"train_pos"
"i tried as bunch of different formats to see if it would play and it did.",1,"train_pos"
"i am very pleased with this product and the price to match and haven't had any problems.",1,"train_pos"
"there are really easy directions for setup and fiddling around with the picture, zoom etc.",1,"train_pos"
"so sit back, relax and brag to all your friends who paid a mountain of money for a dvd player that can't do half the things this one can, and for a fraction of the price!",1,"train_pos"
"value value value.",1,"train_pos"
"noiseless, lightweight and oh yeah.",1,"train_pos"
"works great!",1,"train_pos"
"silverish color really adds a special touch.",1,"train_pos"
"who cares if it doesn't have multiple slots?",1,"train_pos"
"it plays just about any format (check before you buy if it plays yours.)",1,"train_pos"
"if you watch dvds once in a while like i do, get this!",1,"train_pos"
"apex is made in usa and is one of the underrated brands out there.",1,"train_pos"
"if you watch one dvd per weekm its yours.",1,"train_pos"
"either way, can't go wrong with this price.",1,"train_pos"
"excellent picture quality / color i recently purchased the canon powershot g3 and am extremely satisfied with the purchase.",1,"train_pos"
"the camera is very easy to use, in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group.",1,"train_pos"
"after i took their picture with their camera, they offered to take a picture of us.",1,"train_pos"
"i just told them, press halfway, wait for the box to turn green and press the rest of the way.",1,"train_pos"
"they fired away and the picture turned out quite nicely.",1,"train_pos"
"(as all of my pictures have thusfar).",1,"train_pos"
"a few of my work constituants owned the g2 and highly recommended the canon for picture quality.",1,"train_pos"
"i'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture quality and not even using the best possible setting as yet (super fine).",1,"train_pos"
"bottom line, well made camera, easy to use, very flexible and powerful features to include the ability to use external flash and lense / filters choices.",1,"train_pos"
"i'd highly recommend this camera for anyone who is looking for excellent quality pictures and a combination of ease of use and the flexibility to get advanced with many options to adjust if you like.",1,"train_pos"
"great job canon!",1,"train_pos"
"cool toy yep.",1,"train_pos"
"this is my first digital camera, and what a ' toy ' it is!",1,"train_pos"
"i am a software engineer and am very keen into technical details of everything i buy, i spend around 3 months before buying the digital camera; and i must say, g3 worth every single cent i spent on it.",1,"train_pos"
"just a little overview, powershot g3 is the flagship of canon's powershot series and its an slr-like camera, its 4 megapixel and (alsmost) full manual control gives the pictures a touch of brilliance.",1,"train_pos"
"whether you are a novice or an expert, its ease of use and functionality goes together.",1,"train_pos"
"+ you can have different kind of lens if you want + flashes, etc.",1,"train_pos"
"i am using kingston 512mb cf which works great and is very fast.",1,"train_pos"
"a good choice could be cf type ii, microdrives that can store around 1 gb of images.",1,"train_pos"
"(well thats only for old-school die-hard optical viewfinder fans) use lcd instead which is brilliant and you can twist around too.",1,"train_pos"
"overall i'm happy with my toy.",1,"train_pos"
"incredible camera i did extensive research comparing different 4 and 5 megapixel cameras.",1,"train_pos"
"a couple of online camera review sites were extremely helpful, as they provided complete exhaustive reviews of nearly every camera made, plus provided a great number of high resolution sample images to compare amongst the models.",1,"train_pos"
"following my research, i decided on the g3.",1,"train_pos"
"in a word, "" awesome "" is how i would describe this camera.",1,"train_pos"
"i won't go into the details here, as the online sites (stevesdigicams, dpreviews) go into great depth in their reviews, but i am very pleased with the features, the speed, the picture quality, the flexibility, the automation, and the functional conveniences this camera offers.",1,"train_pos"
"with the automatic settings, i really haven't taken a bad picture yet.",1,"train_pos"
"and with the panoramic "" stitch "" mode, it guides you through stitching together multiple pictures to build a seamless panoramic image.",1,"train_pos"
"i am absolutely in awe of this camera, canon put enormous quality into the g3.",1,"train_pos"
"don't walk, run and buy this camera if you have the budget, i guarantee you will not be disappointed.",1,"train_pos"
"great camera i bought my canon g3 about a month ago and i have to say i am very satisfied.",1,"train_pos"
"i have taken hundreds of photos with it and i continue to be amazed by their quality.",1,"train_pos"
"the g3 is loaded with many useful features, and unlike many smaller digital cameras, it is easy to hold steady when using slower shutter speeds.",1,"train_pos"
"despite this minor disappointment, i highly recommend the canon g3 anyone who is serious about digital photography.",1,"train_pos"
"haven't had practice but i'm already in love with it i have only had this camera for one full day and i have to say that it is wonderful.",1,"train_pos"
"the photo quality is amazing and i know i'm going to have fun with all the features.",1,"train_pos"
"i've figured out most of its features on my own already (because i have used digital cameras before, so i know things like symbols).",1,"train_pos"
"i'm one of those people that can only concentrate on one screen at a time so i've been having trouble paying attention to the little display panel on top, but that doesn't stop me from loving this camera.",1,"train_pos"
"i am going to have so much fun with this camera and when i learn more i will post a more accurate review.",1,"train_pos"
"excellent for the semi-serious amateur positives  1) slr like programming and exposure control gives you latitude to be creative, yet its progam and auto exposure settings provide excellent photos if you don't want to bother with the settings.",1,"train_pos"
"excellent range of metering options as well.",1,"train_pos"
"it's great to switch to spot metering and actually see it working on the lcd screen.",1,"train_pos"
"2) 4mp is about right for the target market of this camera (semi-serious amateur photographer)  3) 4x zoom is nice  4) the great thing about digital, in general, is that you can generally see the results of your exposure settings on the lcd screen before you take the picture, not two weeks later when you get the film developed.",1,"train_pos"
"5) its focusing system is also very flexible.",1,"train_pos"
"you can move the focus range to almost anywhere in the scene with the push of a button, and it has an on-screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus.",1,"train_pos"
"fantastic digital camera the camera has a wonderful set of features.",1,"train_pos"
"the lcd screen pulls out and rotates in any direction for easy pictures.",1,"train_pos"
"you can even take a picture of yourself while looking at the lcd.",1,"train_pos"
"the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry.",1,"train_pos"
"the highest optical zoom pictures are perfect.",1,"train_pos"
"i have not yet seen any of the usual problems with digital pictures (purple fringing, etc) so i am very pleased.",1,"train_pos"
"the canon computer software used to download, sort, upload and manage your digital pictures on the computer is very nice and very easy to use.",1,"train_pos"
"the menus are easy to navigate and the buttons are easy to use.",1,"train_pos"
"it is a fantastic camera and well worth the price.",1,"train_pos"
"the best of everything recent price drops have made the g3 the best bargain in digital cameras currently available.",1,"train_pos"
"newbies will find the full auto setting will give them perfect pictures right out of the box.",1,"train_pos"
"4 megapixels is enough for anybody and the photo quality is awesome.",1,"train_pos"
"those used to 35mm cameras will find the g3 very comfortable and friendly to use.",1,"train_pos"
"anyone looking for more than "" point and shoot "" can make a huge step up for a moderate price difference.",1,"train_pos"
"the extended zoom range and faster lense put it at the top of it's class.",1,"train_pos"
"i expect the g3 will please me for years to come.",1,"train_pos"
"pure class &amp; quality - a work of craftmanship i recommend unreservedly the powershot g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period!",1,"train_pos"
"it gives great pictures, the controls are easy to use, the battery lasts forever on one single charge, the software is very user-friendly and it is beautiful in it chrome casing.",1,"train_pos"
"i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode.",1,"train_pos"
"absolutely breathtaking.",1,"train_pos"
"i was considering the olympus camedia c-5050 but was convinced to buy the g3 after visiting a store and holding it in my hands and trying it out.",1,"train_pos"
"the olympus is a bit clumsy-looking and the user-interface not as friendly as the canon, but one of the features that sold me on the g3 was the battery life - no other camera out there gives you the type of battery life as the canon g3.",1,"train_pos"
"i bought a 512 mb card by simpletech and it works great with my canon.",1,"train_pos"
